likes,shares,comments,engagement_rate,is_misinformation
3617,1922,729,0.4006231936700011,0
449,2546,2699,2.8042054969373256,0
2954,1799,2997,6.366142973470143,0
7100,4763,2564,5.0668081561344795,0
7293,3789,3891,9.166959468060236,1
2902,4964,3074,9.368686138168828,1
5800,4243,4996,7.543439248285465,0
1163,2022,1303,1.6672507462795727,0
2902,889,2025,3.3066163848941246,0
9015,123,2310,5.248606336278062,0
1575,2999,2285,2.52489757861865,0
685,4426,3003,0.9975168116683697,0
1671,4041,60,8.584667903433667,1
2785,146,3341,2.103274368758694,0
3101,3263,4778,8.345135275239885,0
4009,3859,1477,1.4437838943325254,0
5473,1409,2942,6.40637717806912,0
2572,2152,3913,8.666194583586513,0
7004,334,967,4.886489071498648,0
2190,3239,1112,1.2524388896587002,0
8408,2492,206,7.057068037264525,0
747,4978,909,4.175464005232442,0
7479,778,566,3.293566389829622,0
3241,2801,3114,2.3550930849113207,0
5968,2665,4134,8.693708122103839,0
9430,1353,2726,2.4747826869908818,0
2864,2198,2161,4.217128420264064,0
836,857,3594,4.396930544064687,0
6962,515,4332,0.7375477639150374,0
6533,4454,511,1.6990265824769668,0
3571,793,3800,9.51600604958392,0
3661,3928,1469,0.23857329414434192,0
5799,1492,2134,8.360284025720933,0
3615,3891,12,4.587641195906658,0
3852,1266,3275,7.9310081274746,0
8621,2858,4183,2.7842823646420323,0
9107,1896,3445,5.56640462409558,0
2015,2507,2019,0.9651583182856938,0
2211,4532,461,0.007633830531321717,0
9475,1938,4209,7.605157131660071,1
7663,3242,2687,9.18432518646956,1
4406,20,4036,1.112435572923064,0
4628,1210,3370,4.603824769068954,0
6381,4080,349,6.87169562246544,0
7426,1159,2273,6.314610050781143,0
4431,845,284,7.8281814642086625,0
9529,3666,4415,8.845112442453928,1
2836,4479,3970,3.318206858878303,0
4940,2955,325,3.3583904480379765,0
3063,614,4875,9.115169305003144,0
2572,394,75,2.768356310054001,0
3966,3514,1560,5.407863187652512,0
7600,674,1910,1.2749684233802228,0
7091,567,800,5.217447142792123,0
8103,359,3924,7.129212949454868,0
5213,2792,4937,4.942341622000503,0
970,1961,2488,6.5786323387630805,0
8656,2836,4374,2.7937749982832196,0
8564,579,751,0.7668355679568739,0
2398,2767,857,0.8686179771674074,0
8236,2217,4231,2.2285267718920396,0
6199,963,1411,4.498557221683862,0
5740,499,2398,3.5041795922201158,0
9846,1857,4670,8.10342107825832,1
4794,948,2211,9.523770607216747,0
1254,3406,4054,1.7811274261587184,0
3922,2776,2412,2.475135546400151,0
1779,1607,4051,6.387903248951243,0
8827,2882,1278,9.510398242823877,1
5294,4200,1222,4.408043332543359,0
3775,3029,4811,2.067331595787013,0
4707,28,2897,3.7470488384764877,0
7024,2995,331,2.78971662721887,0
5698,3300,780,9.520626937818738,1
1721,1770,1153,6.836121049990867,0
4505,4932,3433,5.058265040135376,0
6168,3145,1507,4.542699209334518,0
1326,1136,518,7.138319804831665,0
1720,665,2199,0.5682351926951779,0
